id;qubit;depth;reads;cov
1;17.6;299;24800;96.897
2;20.2;141;11357;90.539
3;15.8;212;16865;93.315
4;50.4;542;41564;98.679
5;18.2;516;40262;99.595
6;11.1;540;42946;98.743
7;17.5;663;51594;99.595
8;19.1;491;37908;95.602
9;20.2;326;25631;97.094
10;11.3;102;16495;79.915
11;15.7;319;24818;97.669
12;13.1;487;39614;99.595
13;15.5;549;42796;99.595
14;14.6;526;41597;99.595
15;14.8;533;42138;99.595
16;9.89;195;15956;94.308
17;22.2;1049;81099;98.679
18;14.8;614;48400;99.595
19;17.9;725;56183;98.743
20;20.9;919;71025;99.595
21;21.3;903;70010;99.595
22;28.2;641;49711;98.803
23;20.9;573;44424;98.602
24;14.7;978;78877;99.595
25;19.8;855;66208;99.595
26;20.3;689;53455;98.799
27;17.5;839;65088;99.595
28;20.3;598;46384;98.743
29;31.3;664;51238;99.595
30;56.8;633;48978;96.957
31;69.5;999;76706;99.595
32;33.4;1318;100864;98.669
33;31.1;1011;77530;99.595
34;24.5;989;76394;99.595
35;25;1354;104277;98.866
36;12;1158;90187;99.595
37;23.4;649;50380;98.602
38;13.6;776;59642;56.456
39;19.5;998;77228;99.595
40;27.6;1416;109049;99.595
41;16.2;707;54605;99.595
42;25.3;1817;139215;99.595
43;24.7;1152;88614;98.679
44;10.4;558;43532;98.679
45;25.6;732;56652;99.595
46;17.9;847;65308;99.595
47;22.2;1845;141972;99.595
48;22;723.4;55617;99.595
49;7.86;15.53;1222;18.971
50;16.2;386.8;29907;96.826
51;8.19;360.2;28403;86.152
52;14.3;384.7;29773;77.337
53;11.2;405.3;31461;56.125
54;10.9;347.8;26984;56.101
55;6.5;204.9;15769;95.138
56;25.8;923;70743;98.679
57;22.2;602;46222;98.866
58;27.1;928.4;71203;99.595
59;23.8;633.5;48869;99.595
60;9.4;183.9;14230;93.971
61;13.8;428;33299;96.833
62;18;463.3;35689;97.873
63;28.5;665.6;51019;99.595
64;20.2;580.3;44726;98.866
65;15.8;449.6;34750;97.873
66;5.61;16.7;1298;19.386
67;16.9;290.4;22536;93.017
68;11.3;356.9;27798;98.602
69;17;424;32655;98.866
70;22.8;591.6;45449;99.595
71;27.7;1228.2;94263;99.595
72;21.8;586.6;45000;99.595
73;17;370.6;28669;97.873
74;26.4;641.3;48968;98.866
75;16.2;1009.4;77197;98.866
76;22.2;808.4;62054;99.595
77;16;191.3;14832;87.296
78;17.6;790.2;60489;99.595
79;15.7;871;67458;98.866
80;9.77;1080.2;83173;98.666
81;15;398.9;30842;98.602
82;25.6;814.2;62159;99.595
83;31.7;1373.6;104938;99.595
84;11.1;57;4503;60.897
85;19.6;738.34;56522;99.595
86;19.4;1292.8;99294;98.679
87;28.9;789;60621;99.595
88;13.3;500.2;38913;97.873
89;11.4;211.2;16489;96.228
90;30.4;808.3;61906;98.602
91;29.3;1031.3;79095;99.595
92;24.7;578.4;44501;98.602
93;15.5;291.2;22585;97.873
94;18.8;443.3;34132;99.595
95;8.39;176.6;13909;96.245
96;21.3;664.9;50994;98.602
97;30.4;690.9;52650;98.602
98;33.8;477.5;36731;96.114
99;10.3;284.9;22319;99.595
100;9.67;330.2;25803;98.743
101;23.6;425.7;32940;99.595
102;7.11;149.4;11573;93.476
103;19.2;546.5;41999;97.619
104;24.9;580.8;44673;98.679
105;31.2;678.1;52215;99.595
106;19.6;574.3;44342;99.595
107;17.3;688.2;52875;97.619
108;23.6;716.8;55162;98.679
109;10;121.9;9305;82.804
110;10.6;160.2;12338;91.202
111;7.25;194.7;15014;94.148
112;9.92;309.1;23931;98.866
113;20.2;638;49316;98.679
114;15.7;412.3;31905;98.866
115;14.6;332.9;25686;56.439
116;15.6;514.3;39443;72.565
117;15.8;788.85;60308;88.255
118;15.2;244.8;18768;54.272
119;28.3;510.3;38870;55.392
120;21.6;1046.7;80631;98.679
121;24.2;996.9;77046;99.595
122;16.3;663.1;51220;99.595
123;17.7;548.4;42500;99.595
124;20.7;946.8;73015;99.595
125;21.5;699.7;53901;98.733
126;26.1;740.5;57206;99.595
127;18.8;557.1;42974;98.866
128;30.3;1121.3;86187;99.595
129;19;796.2;61488;98.679
130;17.6;621.4;48026;99.595
131;28.6;608.6;47113;98.679
132;26;931.8;71377;98.679
133;14.6;490;38112;98.679
134;25.1;857.3;66070;99.595
135;22.4;905.4;69824;98.679
136;18.5;965.9;74718;99.595
137;20.3;879.3;67691;98.679
138;16.5;846.8;65446;98.679
139;16.3;467.6;36275;98.679
140;20.3;635.2;49477;99.595
141;16.6;490.9;38061;99.595
142;7.44;89.3;6910;64.495
143;9.27;51.5;4223;61.027
144;5.45;39.9;3172;40.822
145;30;777.3;60906;98.679
146;20.8;496.7;39257;97.686
147;25.6;604.6;47682;98.679
148;21.4;610.8;48298;98.679
149;19.8;849.1;66825;98.679
150;15.5;504.8;39944;98.679
151;18.8;386.4;30601;98.679
152;11.9;397.9;31929;98.679
153;22.2;518.1;41222;98.679
154;21.7;474.5;37703;98.679
155;17.7;484.8;38776;98.679
156;16.5;500.6;40411;98.679
157;9.59;191;16451;96.298
158;18.2;391.1;31559;97.686
159;6.5;121.2;10923;91.302
160;22.5;609.9;47955;98.679
161;15.6;677.8;53974;98.652
162;24.5;812.2;63890;99.595
163;27;1600.9;126454;98.679
164;20.3;723.7;57583;98.679
165;21.3;977.8;77167;99.595
166;5.29;72.7;5697;81.069
167;28.6;462.4;36384;99.595
168;12.5;385.5;31112;99.595
169;20;478;37647;98.743
170;34;682.7;53404;98.679
171;30.8;831.9;65233;98.679
172;12;302.9;24671;97.097
173;24.4;466.1;36946;99.595
174;21.3;361.5;28423;98.679
175;25.3;466.6;36597;97.686
176;25.5;491;39068;99.595
177;18;458.4;35917;98.679
178;19.7;632.9;50017;98.679
180;36.5;1056.6;82310;98.679
181;30.5;687.1;53774;98.679
182;34.5;706.7;55349;99.595
183;24;538.7;42230;98.679
184;25.8;593.4;46743;98.679
185;16.4;567.8;45689;98.679
186;36.2;1405.6;109779;98.679
187;16.3;563.5;45316;98.679
188;20.8;581;46167;98.679
189;25.7;574.4;45654;98.679
190;19.5;296;23871;96.097
191;41;860.3;67159;97.686
192;14.5;261.7;21470;96.984
193;6.5;102.4;9331;90.185
194;14.9;201;17616;97.749
195;10.1;76;6678;81.918
196;13.7;405;34210;99.595
197;11.5;197;16921;97.826
198;2.02;40.4;3344;76.203
199;8.8;268;24996;96.104
200;14.6;199;17323;96.719
201;6.84;171;15492;98.014
202;14.4;404.4;34784;98.679
203;6.28;77.4;7587;80.447
204;5.06;57.3;4798;76.417
205;5.28;68.8;6156;83.089
206;6.96;137;11737;90.259
207;4.08;101;8533;92.466
208;4.52;40;3406;72.561
209;22.6;213;18560;98.361
210;3.08;40;3299;76.972
211;19.8;296;24993;96.826
212;3.52;56;4631;84.259
213;10.5;99.5;9039;90.121
214;15;87.8;9334;84.694
215;23.2;592.4;48440;98.679
216;21.8;735;60456;98.679
217;13.7;444;37715;98.679
218;7.06;116;10048;90.663
219;10.3;157;13836;94.121
220;3.24;34.5;2841;73.705
221;18.5;328.2;27230;98.679
222;7.04;112;9402;89.359
223;4.2;80.1;6722;98.679
224;18.3;344;55833;55.429
225;4.4;243;6785;98.679
226;21;196;96815;97.826
227;11.4;537;54547;95.087
228;2.2;257;3185;56.764
229;13.7;210;25076;98.679
230;3.38;33;10050;98.679
231;16.5;748;42609;98.679
232;7.38;679;29617;70.685
233;7.44;79.5;20746;98.679
234;4.06;1206;16831;75.919
235;16.9;648;44381;91.536
236;8.62;38.2;21727;96.964
237;9.24;299;17889;97.719
238;7.68;140;11771;78.263
239;8.88;307;26358;98.679
240;9.26;339;29077;93.328
241;12.9;300;25263;98.679
242;9.1;325;27949;92.927
243;14;418;34305;90.626
244;16.8;499;38728;80.326
245;11.6;752;58121;95.325
246;16.8;246;19699;93.298
247;14.4;78;6414;75.374
248;20.8;226;18014;85.931
249;23.2;282;22685;95.225
250;29.2;353;27210;96.004
251;16.2;388;30567;94.318
252;29.2;384;30233;93.954
253;22;274;21726;93.298
254;18;870;67143;97.933
255;35.4;827;64078;98.662
256;6.2;108;9021;70.919
257;24.6;511;40003;93.011
258;21.6;159;12860;92.018
259;35.2;921;71609;98.743
260;27.2;417;32847;95.987
261;19.3;237;18887;93.048
262;26.2;260;20690;93.954
263;23.6;612;47736;96.793
264;21.4;314;33588;95.281
265;23.2;664;70093;97.813
266;25;337;30237;96.793
267;21.8;121;11249;91.365
268;29.9;915;92585;96.004
269;37.2;330;32355;98.662
270;33.6;136;13364;94.619
271;12.7;90;8243;84.617
272;27.2;495;45771;96.793
273;32.8;463;45212;95.281
274;40.8;302;26812;98.662
275;22.8;137;13479;88.851
276;28;114;10623;93.372
277;36.2;130;13091;92.044
278;22.4;313;31371;92.359
279;33.4;1010;112368;96.121
280;32;400;41836;93.954
281;28.2;368;38307;93.302
282;33.6;212;20704;92.359
283;36;391;36486;98.679
